Agrupación Política,Lista,Cargo,Género
FRENTE UNIÓN POR LA PATRIA - SAN JUAN,VAMOS SAN JUAN,DIPUTADOS NACIONALES,Masculino
LA LIBERTAD AVANZA,IDEAS DE LA LIBERTAD,DIPUTADOS NACIONALES,Masculino
PARTIDO CRUZADA RENOVADORA,BLANCA UNIDAD,DIPUTADOS NACIONALES,Masculino
PARTIDO MOVIMIENTO LIBRES DEL SUR - SIGLA L.D.S.,AZUL Y ROJO,DIPUTADOS NACIONALES,Masculino
PARTIDO POPULAR,PRINCIPIO Y VALORES,DIPUTADOS NACIONALES,Masculino
PARTIDO SOCIALISTA,HACEMOS UNIDOS POR SAN JUAN,DIPUTADOS NACIONALES,Masculino
ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,1B UNIDAD DE LUCHADORES Y LA IZQUIERDA,DIPUTADOS NACIONALES,Masculino
ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD  SAN LUIS,UNIR Y FORTALECER LA IZQUIERDA (1A),DIPUTADOS NACIONALES,Femenino
ALIANZA LA LIBERTAD AVANZA SAN LUIS,DOGMA LIBERTARIO,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO  SAN LUIS,EL CAMBIO DE NUESTRAS VIDAS,DIPUTADOS NACIONALES,Masculino
JUNTOS POR EL CAMBIO  SAN LUIS,LA FUERZA DEL CAMBIO,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO AL SOCIALISMO SAN LUIS,IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,Masculino
MOVIMIENTO LIBRES DEL SUR SAN LUIS,AZUL Y ROJO,DIPUTADOS NACIONALES,Femenino
PARTIDO DEMOCRATA SAN LUIS,DEMOCRATAS POR LA LIBERTAD,DIPUTADOS NACIONALES,Masculino
PARTIDO UNION Y LIBERTAD SAN LUIS,L1,DIPUTADOS NACIONALES,Masculino
UNION POR SAN LUIS,CELESTE UNIDAD,DIPUTADOS NACIONALES,Masculino
AGRUPACION MOVIMIENTO AL SOCIALISMO,IZQUIERDA ANTICAPITALISTA,DIPUTADOS NACIONALES,Masculino
